User,Tweet Count,Tweet,Timestamp,Compound Score,Positive Score,Neutral Score,Negative Score
CBSNews,9,Arizona Governor Doug Ducey is the projected winner of the state's GOP gubernatorial primary.… https://t.co/uzE5oCjowR,Wed Aug 29 03:43:28 +0000 2018,0.5859,0.213,0.213,0.213
CBSNews,10,.@SalvantoCBS breaks down tonight’s Florida primary results and predicts possible turnouts for the election in Nove… https://t.co/wnNXjpBdmt,Wed Aug 29 03:22:34 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,11,Remains found in a fish tank at the home of a missing man in San Francisco https://t.co/cCVpTpiLra https://t.co/2kxbMYv0Kn,Wed Aug 29 03:11:35 +0000 2018,-0.296,0.0,0.0,0.0
CBSNews,12,"In Florida's race for governor, @DrMacManus says Tallahassee mayor Andrew Gillum and Rep. Ron DeSantis need to targ… https://t.co/GSlUqQOgii",Wed Aug 29 02:46:37 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,13,Russia to hold its biggest war games since the Cold War https://t.co/WTGOvFvrrj https://t.co/l6WFfZsf4H,Wed Aug 29 02:28:34 +0000 2018,-0.8316,0.0,0.0,0.0
CBSNews,14,"Comedian Eddie Murphy is expecting baby number 10, his second with model girlfriend Paige Butcher… https://t.co/Jk6sXdpAj7",Wed Aug 29 02:11:54 +0000 2018,0.4404,0.218,0.218,0.218
CBSNews,15,These are the deadliest hurricanes in U.S. history https://t.co/Yemh1X7Mf3 https://t.co/9jkfvofTPA,Wed Aug 29 01:49:45 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,16,"RT @edokeefe: In terms of sheer size and scope and feathers in the cap, this Andrew Gillum race is a far bigger prize for the Sanders wing/…",Wed Aug 29 01:43:57 +0000 2018,0.5106,0.117,0.117,0.117
CBSNews,17,"""This race is about every single last one of us, right? Those of us in this room...those who could not vote for me… https://t.co/LMw7xMUmSe",Wed Aug 29 01:42:28 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,18,Tallahassee mayor Andrew Gillum projected to be winner of the Florida Democratic gubernatorial primary.… https://t.co/R0s8n2CSua,Wed Aug 29 01:37:53 +0000 2018,0.5859,0.213,0.213,0.213
CBSNews,19,"Pfizer is recalling some children's Advil because instructions on its label don't match the measuring cup, raising… https://t.co/WfuTwTh9Sf",Wed Aug 29 01:29:50 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,20,"""You are seeing that this is the complete takeover of the Republican party in Florida of the Donald Trump era,""… https://t.co/yNTcT1HuIJ",Wed Aug 29 01:12:20 +0000 2018,0.4019,0.119,0.119,0.119
